T1到貨運站,T1到T2,T2到T1
00:15,00:30,00:35
00:40,00:55,01:00
01:05,01:20,01:25
01:45,02:00,02:05
02:10,02:25,02:30
02:35,02:50,02:55
03:50,04:05,04:10
04:15,04:30,04:35
04:40,04:55,05:00
05:05,05:20,05:25
05:30,05:45,05:50
05:55,23:50,23:55
06:15
06:35
07:05
07:35
08:05
08:35
09:15
09:45
10:05
10:25
11:40
12:00
12:20
12:40
13:00
13:20
13:40
14:10
14:30
14:50
15:10
15:30
15:50
16:20
16:40
17:10
17:40
18:10
19:25
19:45
20:05
20:25
20:45
21:05
21:35
21:55
22:15
22:35
22:55
23:15
23:35

